English,Danish
The local bakery is famous for its delicious pastries.,Det lokale bageri er berømt for sine lækre kager.
He wrote a heartfelt letter to his old friend.,Han skrev et hjerteligt brev til sin gamle ven.
The city's architecture is a blend of old and modern designs.,Byens arkitektur er en blanding af gamle og moderne designs.
Her performance on stage received a standing ovation.,Hendes optræden på scenen modtog stående bifald.
He spent the weekend repairing his old bicycle.,Han tilbragte weekenden med at reparere sin gamle cykel.
The fireworks lit up the night sky during the celebration.,Fyrværkeriet oplyste nattehimlen under fejringen.
She collected seashells along the beach every summer.,Hun samlede muslingeskaller langs stranden hver sommer.
The old bookstore had a charming and cozy atmosphere.,Den gamle boghandel havde en charmerende og hyggelig atmosfære.
The farmer's market was bustling with activity on Saturday morning.,Landmandsmarkedet var fyldt med aktivitet lørdag morgen.
He gave a touching speech at his sister's wedding.,Han holdt en rørende tale til sin søsters bryllup.
The streets were decorated with colorful lanterns for the festival.,Gaderne var dekoreret med farverige lanterner til festivalen.
She enjoyed reading novels in her spare time.,Hun nød at læse romaner i sin fritid.
The old oak tree stood tall in the middle of the field.,Det gamle egetræ stod højt midt på marken.
He played the violin with great skill and passion.,Han spillede violin med stor dygtighed og lidenskab.
The children were eager to fly their kites in the park.,Børnene var ivrige efter at flyve deres drager i parken.
The museum displayed artifacts from the ancient era.,Museet udstillede genstande fra oldtiden.
She loved to watch the sunset from her balcony.,Hun elskede at se solnedgangen fra sin altan.
The recipe for the dish was passed down from her grandmother.,Opskriften på retter blev givet videre fra hendes bedstemor.
The river flowed gently through the picturesque valley.,Floden flød stille gennem den maleriske dal.
He rescued a stray cat and gave it a loving home.,Han reddede en herreløs kat og gav den et kærligt hjem.
The charity event raised funds for a good cause.,Velgørenhedsarrangementet indsamlede midler til en god sag.
She took a pottery class to learn a new skill.,Hun tog et keramik kursus for at lære en ny færdighed.
The birds built their nests high up in the trees.,Fuglene byggede deres reder højt oppe i træerne.
They enjoyed the peaceful atmosphere of the island.,De nød den fredelige atmosfære på øen.
The chef's culinary expertise was evident in every dish.,Kokkens kulinariske ekspertise var tydelig i hver ret.
She loved to capture moments with her camera.,Hun elskede at fange øjeblikke med sit kamera.
The city's nightlife is vibrant and diverse.,Byens natteliv er levende og mangfoldigt.
His music inspired many people around the world.,Hans musik inspirerede mange mennesker rundt om i verden.
She thanked her hosts for their warm hospitality.,Hun takkede sine værter for deres varme gæstfrihed.
The old church bells rang every Sunday morning.,De gamle kirkeklokker ringede hver søndag morgen.
They found a secluded spot for a quiet retreat.,De fandt et afsidesliggende sted til en stille tilbagetrækning.
He spent hours working on his model train set.,Han brugte timer på at arbejde på sit modeltogssæt.
The fresh scent of pine filled the air in the forest.,Den friske duft af fyrretræ fyldte luften i skoven.
She danced gracefully across the stage.,Hun dansede yndefuldt hen over scenen.
The villagers celebrated the harvest with a big feast.,Landsbyboerne fejrede høsten med en stor fest.
He enjoyed hiking in the mountains during his vacations.,Han nød at vandre i bjergene under sine ferier.
The painting depicted a serene landscape at dawn.,Maleri viste et roligt landskab ved daggry.
She carefully folded the origami crane.,Hun foldede omhyggeligt origami-tranen.
The architect's design was both innovative and functional.,Arkitektens design var både innovativt og funktionelt.
They stargazed lying on the blanket in the open field.,De kiggede på stjernerne mens de lå på tæppet i det åbne felt.
The little boy was thrilled to ride the carousel.,Den lille dreng var begejstret for at ride på karrusellen.
She dedicated her life to helping those in need.,Hun dedikerede sit liv til at hjælpe dem i nød.
The gentle sound of waves was soothing to her ears.,Den sagte lyd af bølger var beroligende for hendes ører.
He admired the vintage cars at the local car show.,Han beundrede de gamle biler på den lokale biludstilling.
She enjoyed taking long walks in the countryside.,Hun nød at tage lange gåture på landet.
The festival celebrated the rich cultural heritage of the region.,Festivalen fejrede den rige kulturelle arv i regionen.
He crafted a beautiful wooden chair from scratch.,Han fremstillede en smuk træstol fra bunden.
The gentle breeze made the flowers sway.,Den lette brise fik blomsterne til at svaje.
She always had a positive outlook on life.,Hun havde altid et positivt syn på livet.
The museum's exhibit on ancient Egypt was fascinating.,Museets udstilling om det gamle Egypten var fascinerende.
He played soccer with his friends every weekend.,Han spillede fodbold med sine venner hver weekend.
The garden was her sanctuary from the busy world.,Haven var hendes fristed fra den travle verden.
He surprised her with a bouquet of her favorite flowers.,Han overraskede hende med en buket af hendes yndlingsblomster.
The music from the street performers filled the air with joy.,Musikken fra gadeperformerne fyldte luften med glæde.
She designed beautiful dresses for the local theater's performances.,Hun designede smukke kjoler til det lokale teaters forestillinger.
He enjoyed reading poetry on rainy afternoons.,Han nød at læse poesi på regnfulde eftermiddage.
The warm fireplace was inviting on the chilly evening.,Den varme pejs var indbydende på den kølige aften.
She taught her children the importance of kindness and empathy.,Hun lærte sine børn vigtigheden af venlighed og empati.
The bridge connected the two parts of the city across the river.,Broen forbandt de to dele af byen over floden.
The young athlete trained every day for the upcoming competition.,Den unge atlet trænede hver dag til den kommende konkurrence.
She painted a mural on the wall of the community center.,Hun malede et vægmaleri på væggen i forsamlingshuset.
He enjoyed listening to classical music while working.,"Han nød at lytte til klassisk musik, mens han arbejdede."
The old library was filled with countless treasures of knowledge.,Det gamle bibliotek var fyldt med utallige skatte af viden.
She spent her afternoons tending to her garden.,Hun tilbragte sine eftermiddage med at passe sin have.
The children's laughter echoed in the playground.,Børnenes latter genlød på legepladsen.
He captured the beauty of nature through his lens.,Han indfangede naturens skønhed gennem sin linse.
